trail_id,name,city,region_name,country_name,_geoloc,popularity,length,elevation_start,elevation_gain,elevation_max,unit,duration_minutes,avg_rating,difficulty,visitor_usage,season,route_type,review_count,photo_count,track_count,completed_count,activities,features,obstacles,slug,overview
10259382,Lacs de Fenêtre - Col du Grand Saint-Bernard via Les Ars,La Fouly,Valais,Switzerland,"{'lat': 45.90813, 'lng': 7.11304}",43.2924,19473.014,1782.7752,1642.872,2917.8504000000003,m,,5.0,5,1.0,"{'start': 6, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",1,88,5,4,"['backpacking', 'birding', 'fishing', 'hiking', 'trail-running']","['lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/trail-grand-saint-bernard,"Check out this 12.1-mile out-and-back trail near La Fouly, Valais. Generally considered a challenging route. This trail is great for backpacking, birding, and fishing, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are June through September."
10259412,Val Ferret - Malatra - Grand Saint Bernard - Lacs de Fenêtre,La Fouly,Valais,Switzerland,"{'lat': 45.9053, 'lng': 7.11598}",55.9669,38463.225999999995,1778.8128000000002,2948.94,2899.8672,m,,3.7,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'L', 'name': 'Loop'}",4,1136,8,11,"['birding', 'hiking', 'trail-running']","['lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/val-ferret-malatra-grand-saint-bernard-lacs-de-fenetre,"Explore this 23.9-mile loop trail near La Fouly, Valais. Generally considered a challenging route. This is a popular trail for birding, hiking, and running, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September."
10259747,Weissmies Trail,Saas-Almagell,Valais,Switzerland,"{'lat': 46.09762, 'lng': 7.95802}",46.1242,31382.129999999997,1664.8176,3889.8576000000003,3999.8904,m,,4.3,5,2.0,"{'start': 1, 'end': 12}","{'uid': 'O', 'name': 'Out & Back'}",2,126,5,7,"['backpacking', 'hiking']","['forest', 'views']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/weissmies-trail,"Try this 19.5-mile out-and-back trail near Saas-Almagell, Valais. Generally considered a challenging route. This is a popular trail for backpacking and hiking, but you can still enjoy some solitude during quieter times of day. The trail is open year-round and is beautiful to visit anytime."
10259776,Rothorn - Bella Tolla - Meidpass,Chandolin,Valais,Switzerland,"{'lat': 46.25227, 'lng': 7.59744}",56.9208,21565.156,1983.9432000000002,1285.9512,3003.804,m,,4.3,5,2.0,"{'start': 7, 'end': 9}","{'uid': 'L', 'name': 'Loop'}",6,129,7,14,"['backpacking', 'birding', 'hiking', 'trail-running']","['forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/rothorn-bella-tolla-meidpass,"Enjoy this 13.4-mile loop trail near Chandolin, Valais. Generally considered a challenging route. This is a popular trail for backpacking, birding, and hiking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are July through September."
10259781,Illhorn - Schwarzhorn,Chandolin,Valais,Switzerland,"{'lat': 46.25227, 'lng': 7.59743}",57.2604,13035.653999999999,1983.9432000000002,1024.7376000000002,2775.8136,m,,5.0,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'L', 'name': 'Loop'}",7,43,10,17,"['birding', 'hiking', 'mountain-biking']","['dogs-leash', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/illhorn-schwarzhorn,"Enjoy this 8.1-mile loop trail near Chandolin, Valais. Generally considered a challenging route. This is a popular trail for birding, hiking, and mountain biking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September. Dogs are welcome, but must be on a leash."
10259793,Le Catogne via Champex-Lac,Champex-Lac,Valais,Switzerland,"{'lat': 46.02582, 'lng': 7.12229}",56.4583,10299.776,1457.8584,1319.784,2562.7584,m,,4.0,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",8,54,6,15,"['birding', 'hiking']","['dogs-leash', 'forest', 'lake', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/le-catogne-mountain-trail-from-champex,"Explore this 6.4-mile out-and-back trail near Champex-Lac, Valais. Generally considered a challenging route. This is a popular trail for birding and hiking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September. Dogs are welcome, but must be on a leash."
10259794,La Breya - Cabane d'Orny - Cabane de Trient,Champex-Lac,Valais,Switzerland,"{'lat': 46.02164, 'lng': 7.10319}",69.8106,13035.653999999999,2183.8920000000003,1035.7104000000002,3155.8992000000003,m,,4.6,5,2.0,"{'start': 5, 'end': 10}","{'uid': 'O', 'name': 'Out & Back'}",13,103,33,43,"['backpacking', 'birding', 'hiking', 'trail-running']","['lake', 'views', 'wild-flowers', 'wildlife']","['fee', 'no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/la-breya-cabane-d-orny-cabane-de-trient,"Experience this 8.1-mile out-and-back trail near Champex-Lac, Valais. Generally considered a challenging route. This is a popular trail for backpacking, birding, and hiking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are May through October."
10259798,Bisse du Ro - Grand Bisse de Lens - Zseuzier Dam - Zseuzier Lake,Crans-Montana,Valais,Switzerland,"{'lat': 46.31155, 'lng': 7.45747}",89.7356,18507.41,1573.9872,1115.8728,1903.7808,m,430.0,4.6,5,3.0,"{'start': 4, 'end': 10}","{'uid': 'L', 'name': 'Loop'}",107,520,132,202,"['birding', 'hiking', 'trail-running']","['forest', 'historic-site', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['rocky', 'snow']",switzerland/valais/bisse-du-ro-grand-bisse-de-lens-barrage-de-tseuzier-lac-de-tseuzier,"Discover this 11.5-mile loop trail near Crans-Montana, Valais. Generally considered a challenging route, it takes an average of 7 h 10 min to complete. This is a very popular area for birding, hiking, and running, so you'll likely encounter other people while exploring. The best times to visit this trail are April through October."
10259830,Lake Moiry - Lake Châteaupré - Glacier Moiry - Moiry Hut,Zinal,Valais,Switzerland,"{'lat': 46.14873, 'lng': 7.58642}",75.6865,20277.683999999997,2825.8008,1246.9368000000002,2833.7256,m,477.0,4.5,5,3.0,"{'start': 6, 'end': 9}","{'uid': 'L', 'name': 'Loop'}",24,276,30,52,"['birding', 'hiking', 'trail-running']","['dogs', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'snow']",switzerland/valais/lac-de-moiry-lac-de-chateaupre-glacier-moiry-cabane-de-moiry,"Discover this 12.6-mile loop trail near Zinal, Valais. Generally considered a challenging route, it takes an average of 7 h 57 min to complete. This is a very popular area for birding, hiking, and running, so you'll likely encounter other people while exploring. The best times to visit this trail are June through September. Dogs are welcome and may be off-leash in some areas."
10259862,Cabane de Tracuit,Zinal,Valais,Switzerland,"{'lat': 46.12775, 'lng': 7.6299}",71.1739,15288.73,1670.9136,1570.9392,3241.8528,m,,4.6,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",21,26,53,54,"['backpacking', 'birding', 'hiking']","['forest', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/cabane-de-tracuit,"Get to know this 9.5-mile out-and-back trail near Zinal, Valais. Generally considered a challenging route. This is a popular trail for backpacking, birding, and hiking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September."
10260990,Trail du Toûno,Chandolin,Valais,Switzerland,"{'lat': 46.25222, 'lng': 7.59697}",50.3138,21565.156,1980.8952000000002,1210.9704000000002,2990.6976,m,,4.8,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",4,95,7,4,"['birding', 'hiking', 'trail-running']","['forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/trail-du-touno,"Explore this 13.4-mile out-and-back trail near Chandolin, Valais. Generally considered a challenging route. This is a popular trail for birding, hiking, and running, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September."
10261358,Cabane de l'A Neuve,La Fouly,Valais,Switzerland,"{'lat': 45.93179, 'lng': 7.09837}",71.2621,10460.71,1604.7720000000002,1148.7912000000001,2716.9872,m,,4.6,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",17,96,31,39,"['backpacking', 'hiking']","['forest', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/cabane-de-l-a-neuve,"Experience this 6.5-mile out-and-back trail near La Fouly, Valais. Generally considered a challenging route. This is a popular trail for backpacking and hiking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September."
10261582,Chandolin - Illsee - Meretschi Alp,Chandolin,Valais,Switzerland,"{'lat': 46.25228, 'lng': 7.59743}",50.9579,15610.597999999998,1984.8576,1197.864,2545.9944,m,416.0,4.9,5,2.0,"{'start': 5, 'end': 10}","{'uid': 'L', 'name': 'Loop'}",4,28,8,12,"['birding', 'hiking', 'mountain-biking', 'trail-running']","['dogs-leash', 'forest', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'snow']",switzerland/valais/chandolin-illsee-alpage-meretschi,"Enjoy this 9.7-mile loop trail near Chandolin, Valais. Generally considered a challenging route, it takes an average of 6 h 56 min to complete. This is a popular trail for birding, hiking, and mountain biking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are May through October. Dogs are welcome, but must be on a leash."
10261586,Vallon de Réchy via Vercorin,Vercorin,Valais,Switzerland,"{'lat': 46.25422, 'lng': 7.53351}",53.0984,20438.618,1322.832,1448.7144,2616.708,m,521.0,4.0,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'L', 'name': 'Loop'}",6,74,8,8,"['birding', 'hiking', 'mountain-biking', 'trail-running']","['dogs-leash', 'forest', 'historic-site', 'lake', 'partially-paved', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']",['rocky'],switzerland/valais/vallon-de-rechy-via-vercorin,"Head out on this 12.7-mile loop trail near Vercorin, Valais. Generally considered a challenging route, it takes an average of 8 h 41 min to complete. This is a popular trail for birding, hiking, and mountain biking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September. Dogs are welcome, but must be on a leash."
10261598,Grande Dixence - Cabane des Dix,Lanna,Valais,Switzerland,"{'lat': 46.08419, 'lng': 7.40381}",67.822,26393.175999999996,2144.8776000000003,1252.728,2956.8648000000003,m,,4.5,7,1.0,"{'start': 6, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",13,194,18,28,"['birding', 'hiking']","['dogs-no', 'historic-site', 'lake', 'river', 'views', 'wild-flowers', 'wildlife']","['muddy', 'no-shade', 'rocky', 'scramble', 'snow']",switzerland/valais/grande-dixence-cabane-des-dix,"Proceed cautiously on this 16.4-mile out-and-back trail near Lanna, Valais. Generally considered a highly challenging route, it should only be attempted by experienced adventurers. This trail is great for birding and hiking, and it's unlikely you'll encounter many other people while exploring. The best times to visit this trail are June through September. You'll need to leave pups at home — dogs aren't allowed on this trail."
10261784,Blenio - Greina - Capanna Scaletta,Campo Blenio,Ticino,Switzerland,"{'lat': 46.55659, 'lng': 8.93884}",24.8699,17541.806,1204.8744000000002,1133.856,2244.8520000000003,m,423.0,3.0,5,2.0,"{'start': 4, 'end': 9}","{'uid': 'O', 'name': 'Out & Back'}",1,35,2,5,"['backpacking', 'birding', 'camping', 'hiking', 'walking']","['forest', 'river', 'views', 'wild-flowers', 'wildlife']",[],switzerland/ticino/blenio-greina-capanna-scaletta-trail,"Discover this 10.9-mile out-and-back trail near Campo Blenio, Ticino. Generally considered a challenging route, it takes an average of 7 h 3 min to complete. This is a popular trail for backpacking, birding, and camping, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are April through September."
10267005,Simmenfalls Trek,Lenk im Simmental,Bern,Switzerland,"{'lat': 46.42686, 'lng': 7.47657}",55.4148,28485.317999999996,1105.8144,2419.8072,2901.6960000000004,m,,5.0,5,2.0,"{'start': 6, 'end': 9}","{'uid': 'L', 'name': 'Loop'}",4,165,6,16,"['backpacking', 'birding', 'hiking', 'trail-running']","['forest', 'lake', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['no-shade', 'rocky', 'scramble', 'snow']",switzerland/bern/simmenfalle-trek,"Get to know this 17.7-mile loop trail near Lenk im Simmental, Bern. Generally considered a challenging route. This is a popular trail for backpacking, birding, and hiking, but you can still enjoy some solitude during quieter times of day. The best times to visit this trail are June through September."
