web-scraper-order,web-scraper-start-url,Page,Element,Element-href,name,location,length,elevation,route,description,difficulty,rating,participants,tags
"1700575678-1","https://www.alltrails.com/switzerland/bern","","Thörigen - Ochlenberg - Richisberg - Oberbützberg","https://www.alltrails.com/trail/switzerland/bern/thorigen-ochlenberg-richisberg-oberbutzberg","Thörigen - Ochlenberg - Richisberg - Oberbützberg","Thörigen, Bern, Switzerland","20.9 km","862 m","Loop","","Hard","4.0","(1)","HikingRunningForestRiverViewsWildflowers"
"1700575705-2","https://www.alltrails.com/switzerland/bern","","Ränzi Circular route","https://www.alltrails.com/trail/switzerland/bern/ranzi-rundweg","Ränzi Circular route","Biembach im Emmental, Bern, Switzerland","5.0 km","226 m","Loop","The trail starts in Ränzi in the middle of the small village and then the path leads through the middle of the forest. You can enjoy yourself along various partly unpaved and paved roads. Children can also come along here without any problems or you can use this round for a jog or for a round with the dog.","Moderate","3.6","(2)","Kid friendlyWalkingRunningDog friendlyForestPartially pavedViewsWildflowers"
"1700575732-3","https://www.alltrails.com/switzerland/bern","","GP RSC Aaretal - Kleine Runde","https://www.alltrails.com/trail/switzerland/bern/gp-rsc-aaretal-kleine-runde","GP RSC Aaretal - Kleine Runde","Kiesen, Bern, Switzerland","2.6 km","27 m","Loop","","Easy","5.0","(5)","Road bikingRiverViewsWildlife"
"1700575738-4","https://www.alltrails.com/switzerland/bern","","Lenk - Col du Rawil - Sion","https://www.alltrails.com/trail/switzerland/bern/lenk-col-du-rawil-sion","Lenk - Col du Rawil - Sion","Lenk im Simmental, Bern, Switzerland","37.3 km","1,658 m","Point to point","This beautiful mountain bike trip starts from Lenk in the canton of Bern and climbs to the Rawil pass at 2,429 meters above sea level. The route then follows the Tzeuzier dam to descend via Ayent and Grimisuat in the capital of Valais at Sion. Very beautiful view of the river Rhône.","Hard","5.0","(1)","Mountain bikingBike touringForestLakeRiverViewsWaterfallWildflowersHistoric site"
"1700575765-5","https://www.alltrails.com/switzerland/bern","","Amsoldingen - Thun","https://www.alltrails.com/trail/switzerland/bern/amsoldingen-thun","Amsoldingen - Thun","Amsoldingen, Bern, Switzerland","8.2 km","185 m","Loop","The trail starts in Amsoldingen near the Amsoldingersee lake. First it goes past fields and then after two kilometers through the Burgerwald forest. Then it goes on to Allmendingen and finally comes mack to Amsoldingen.

The trail leads over partly paved roads and is also suitable for a bike tour or for a run.","Moderate","4.0","(1)","Kid friendlyMountain bikingWalkingRunningDog friendlyForestPartially pavedRiverWildflowers"
"1700575771-6","https://www.alltrails.com/switzerland/bern","","Aarberg Circular route","https://www.alltrails.com/trail/switzerland/bern/aarberg-rundweg","Aarberg Circular route","Aarberg, Bern, Switzerland","3.1 km","59 m","Loop","The path is a circular route through the old town of Aarberg. It starts at the train station and then leads directly to the Alte Aare river with beautiful bays. Then you come along the water past wooded areas and can treat yourself to a well-deserved break. It doesn't take too long to get to the train station. You can also visit Aarberg Castle.","Easy","5.0","(1)","Dogs on leashKid friendlyWalkingRunningForestPartially pavedRiverViewsCity walkHistoric site"
"1700575775-7","https://www.alltrails.com/switzerland/bern","","Tschuggen Alp Trail","https://www.alltrails.com/trail/switzerland/bern/tschuggen-alpwanderweg","Tschuggen Alp Trail","Diemtigtal Nature Park","9.8 km","701 m","Point to point","A fantastic family-friendly hike through the lower Diemtig valley from Oey to Riedli. Visitors can expect fantastic views of the Simmental.

First it goes uphill over beautiful meadows to the Tschuggen viewpoint, where the shimmering Aegelsee is also located. Here hikers also pass Diemtigen, a picturesque mountain village which has won the Wakker Prize for its excellent building culture. It then goes down through idyllic forests to Riedli.","Hard","4.0","(1)","Dogs on leashHikingBird watchingRunningForestLakePartially pavedRiverViewsWildflowersWildlife"
"1700575779-8","https://www.alltrails.com/switzerland/bern","","Niederscherli Loop","https://www.alltrails.com/trail/switzerland/bern/niederscherli-rundweg","Niederscherli Loop","Gantrisch Nature Park","23.8 km","592 m","Loop","Niederscherli is the sixth largest village in the municipality of Köniz. The path goes straight through the Gantrisch Nature Park in the canton of Bern. After a while the path turns under the beautiful hill of Imihubel near Niedermuhlern, which is the highest hill in the municipality. Along the way one passes some farms where with a bit of luck it is possible to relax wonderfully.","Hard","2.9","(5)","HikingMountain bikingBike touringRunningDog friendlyForestPartially pavedRiverViewsWildflowersWildlifeNo shadeHistoric site"
"1700575783-9","https://www.alltrails.com/switzerland/bern","","Frutigen - Aeschi - Sillerenbühl MTB","https://www.alltrails.com/trail/switzerland/bern/frutigen-aeschi-sillerenbuhl-mtb","Frutigen - Aeschi - Sillerenbühl MTB","Frutigen, Bern, Switzerland","48.8 km","1,844 m","Loop","","Hard","5.0","(1)","BackpackingHikingMountain bikingBike touringForestPartially pavedRiverViewsWildflowersWildlife"
"1700575787-10","https://www.alltrails.com/switzerland/bern","","Tavannes - Cabane Montoz","https://www.alltrails.com/trail/switzerland/bern/tavannes-cabane-montoz","Tavannes - Cabane Montoz","Chasseral Regional Park","12.2 km","666 m","Loop","","Moderate","5.0","(1)","Dogs on leashHikingWalkingRunningForestPartially pavedViewsWildflowers"
"1700575790-11","https://www.alltrails.com/switzerland/bern","","Thun - Gantrischseeli","https://www.alltrails.com/trail/switzerland/bern/thun-gantrischseeli","Thun - Gantrischseeli","Thun, Bern, Switzerland","45.5 km","1,630 m","Out & back","Comfortable tour, in case the weather is not so good.","Hard","5.0","(1)","Mountain bikingBird watchingForestLakeRiverViewsWaterfallWildflowersWildlifeHistoric site"
"1700575794-12","https://www.alltrails.com/switzerland/bern","","Brienz - Beatenberg - Gunten","https://www.alltrails.com/trail/switzerland/bern/brienz-beatenberg-gunten","Brienz - Beatenberg - Gunten","Thunerlake Hohgant Nature Park","72.6 km","1,451 m","Loop","","Hard","3.7","(3)","Road bikingBike touringForestLakeRiverViewsWildflowers"
"1700575798-13","https://www.alltrails.com/switzerland/bern","","Riggisberg - Giebeleggwald","https://www.alltrails.com/trail/switzerland/bern/riggisberg-giebeleggwald","Riggisberg - Giebeleggwald","Riggisberg, Bern, Switzerland","24.6 km","891 m","Loop","","Moderate","3.4","(2)","HikingMountain bikingRunningDog friendlyForestViewsWildflowersNo shadeHistoric site"
"1700575802-14","https://www.alltrails.com/switzerland/bern","","Arch - Näherenhubel via Bibern","https://www.alltrails.com/trail/switzerland/bern/arch-naherenhubel-via-bibern","Arch - Näherenhubel via Bibern","Arch, Bern, Switzerland","10.1 km","277 m","Loop","This circular walk starts in Arch and is an ideal stroll in an afternoon. It leads through nature and goes up to the Näherenhubel peak. Then it goes to the settlement border to Bibern and then back through the forest to Arch.
After a few rainy days this trail can be a bit muddy.","Moderate","3.3","(3)","Kid friendlyWalkingRunningDog friendlyForestRiverViewsWildflowers"
"1700575806-15","https://www.alltrails.com/switzerland/bern","","Moutier Circular","https://www.alltrails.com/trail/switzerland/bern/moutier-rundwanderung","Moutier Circular","Moutier, Bern, Switzerland","10.3 km","521 m","Loop","The path starts in Moutier at the station and follows through the cultivated landscape to Clos Hennet and comes through the Rière Plain Champ plain and a piece of forest to Eschert. Then it goes through the open terrain back to the beginning.

This trail can be a bit muddy after a few bad weather days.","Moderate","4.0","(2)","Dogs on leashWalkingRunningForestPartially pavedViewsWildflowers"
"1700575810-16","https://www.alltrails.com/switzerland/bern","","Simmenfälle - Iffigenalp","https://www.alltrails.com/trail/switzerland/bern/simmenfalle-iffigenalp","Simmenfälle - Iffigenalp","Lenk im Simmental, Bern, Switzerland","50.1 km","4,226 m","Point to point","Here is a hike around the Simmental and the Wildhorn in four days. Departure is at Simmen Falls. The first night will be spent at the Wildstrubelhütte. You can spend the second night at the Cabane des Audannes. For the third night it is possible to sleep at the Geltenhütte. This hike is exciting but demanding. it offers a wild and romantic adventure in the cantons of Bern and Valais.","Hard","4.0","(1)","HikingMountain bikingBike touringBird watchingForestLakeRiverViewsWaterfallWildflowersWildlife"
"1700575813-17","https://www.alltrails.com/switzerland/bern","","Kemmeribodenbad - Schibengütsch","https://www.alltrails.com/trail/switzerland/bern/kemmeribodenbad-schibengutsch","Kemmeribodenbad - Schibengütsch","UNESCO Biosphere Entlebuch","14.8 km","1,027 m","Loop","The Schibengütsch is at an altitude of 2037m and forms the southwestern end of the Schrattenfluh massif. It starts in the valley in Kemmeribodenbad and then leads along the Bärselbach. With a magnificent view, it goes steadily uphill through open terrain with wonderful alpine meadows.

It is a terrain, partly rocky, without much shelter, where you are exposed to the sun, especially in summer. So please don't forget to bring adequate sun protection and water.","Hard","3.5","(2)","HikingBird watchingRunningDog friendlyForestRiverViewsWildflowersWildlifeNo shade"
"1700575817-18","https://www.alltrails.com/switzerland/bern","","Brüttelen - Ins","https://www.alltrails.com/trail/switzerland/bern/bruttelen-ins","Brüttelen - Ins","Ins, Bern, Switzerland","9.0 km","243 m","Loop","The route starts in the Swiss canton of Bern and goes from Ins to Brüttelen. Ins is named by the local Eiss and is part of Zealand. The path goes via a beautiful forest to Brüttelen, a very beautiful and smaller community. The path is well marked with a little altitude and very varied.","Moderate","5.0","(1)","HikingRunningForestRiverViewsWildflowers"
"1700575821-19","https://www.alltrails.com/switzerland/bern","","Steingletscherhütte - Tierberglihütte - Sustenhorn","https://www.alltrails.com/trail/switzerland/bern/steingletscherhutte-tierberglihutte-sustenhorn","Steingletscherhütte - Tierberglihütte - Sustenhorn","Gadmen, Bern, Switzerland","9.5 km","1,606 m","Point to point","This tour is also very often done on touring skis in winter. The view from the Sustenhorn at 3,503 m is breathtaking.","Hard","4.0","(1)","HikingRock climbingForestLakeRiverViewsWildflowersRockyScrambleSnow"
