trail_id,name,city,region_name,length_km,ascent,descent,deepest_point,highest_point,unit,duration_minutes,difficulty,season,route_type,aktivitat,angebot,thema
116560,"Glaspass (Heinzenberg, Naturpark Beverin) – Glaser Grat – Lüschersee – Glaspass",Graubünden,Rheinwald/Viamala,5.6,347,345,1828,2123,m,115,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle', 'Hofladen']","['Pass', 'Panorama', 'Themenweg', 'Höhenweg', 'Gratweg', 'Naturwunder', 'Top-Touren', 'Bergsee']"
112021,"Neuenburgersee, Portalban – Pfahlbaudorf Gletterens – Estavayer-le-Lac",Westschweiz,Fribourg,14,95,62,430,465,m,205,T1,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Familie', 'See', 'Themenweg', 'Flachwandern', 'Schiff', 'Naturwunder']"
111254,Niederbauen (Emmetten) – Hundschopf – Niederbauen Chulm – Alp Tritt – Niederbauen,Zentralschweiz,Nidwalden,5.7,435,437,1570,1922,m,135,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Hofladen']","['Gipfel', 'Panorama', 'Schiff']"
110709,"Niederhorn Panoramaweg, Niederhorn – Gemmenalphorn – Beatenberg Waldegg",Bern,Thunersee,10.6,352,1091,1201,2063,m,205,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Gipfel', 'Panorama', 'Höhenweg', 'Gratweg', 'Top-Touren']"
108731,Derborence – Pas de Cheville – Anzeindaz / Anzeide – Col des Essets – Pont de Nant – Les Plans-sur-Bex,Westschweiz,Waadt,14.9,797,1175,1088,2051,m,310,T2,"['Jul', 'Aug', 'Sep']",A nach B Tour,['Wandern'],"['(SAC-)Hütten', 'Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB', 'Hofladen']","['Fluss', 'Pass', 'Panorama', 'See', 'Mehrtagestour', 'Naturwunder', 'Top-Touren', 'Bergsee']"
107910,Nufenenpass (Cruina) – Lago delle Pigne – Capanna Piansecco – Ronco (Bedretto),Tessin,Bedrettotal,11.5,519,1076,1476,2281,m,240,T2,"['Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['(SAC-)Hütten', 'Unterkunft', 'Verpflegung']","['Panorama', 'See', 'Höhenweg', 'Bergsee']"
94468,Vue-des-Alpes – Tête de Ran – Mont Racine – La Tourne (Jura Höhenweg),Mittelland,Jura &amp; Drei-Seen-Land,12.7,461,613,1131,1438,m,220,T1,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Verpflegung', 'Alp-Beizli', 'Feuerstelle']","['Gipfel', 'Panorama', 'Höhenweg', 'Gratweg', 'Top-Touren']"
83411,Elm – Tschinglenschlucht – Alp Tschinglen,Ostschweiz,Glarnerland,3.9,562,6,960,1516,m,105,T2,"['Jun', 'Jul', 'Aug', 'Sep']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Feuerstelle', 'Alp-BnB']","['Fluss', 'Themenweg', 'Schlucht', 'Naturwunder']"
80832,Schangnau – Wachthubel – Pfyffer – Rämisgumme – Trubschachen,Bern,Emmental,13.6,634,828,730,1414,m,260,T2,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Alp-Beizli', 'Alp-BnB', 'Hofladen']","['Gipfel', 'Gratweg']"
3374,Dornach-Arlesheim – Ermitage – Schartenflue Gempenturm – Schlosshof – Ruine Dorneck – Dornach-Arlesheim,Nordwest,Basel,11.6,481,481,295,759,m,200,T1,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",Rundtour,['Wandern'],"['Unterkunft', 'Verpflegung', 'Feuerstelle']",['Gipfel']
3373,San Rocco – Caprino – Cantine di Gandria – Zollmuseum (Luganersee),Tessin,Lugano,4,189,190,271,330,m,75,T1,"['Mai', 'Jun', 'Jul', 'Aug', 'Sep']",A nach B Tour,['Wandern'],"['Verpflegung', 'Feuerstelle']","['See', 'Schiff']"
3372,Appenzell – Gontenbad – Gonten,Ostschweiz,Appenzell,6.5,182,65,762,911,m,100,T1,"['Mar', 'Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']","['Familie', 'Themenweg']"
3370,Isone – Cima di Medeglia – Medeglia,Tessin,,9.7,627,671,704,1259,m,205,T2,"['Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt', 'Nov']",A nach B Tour,['Wandern'],"['Unterkunft', 'Verpflegung']",['Gipfel']
3369,"Wald ZH, Rehazentrum – Bannholz – Chrinnenberg – Farneralp – Sagenraintobel – Wald ZH",Zürich,Zürcher Oberland,9.3,328,610,617,1172,m,170,T1,"['Apr', 'Mai', 'Jun', 'Jul', 'Aug', 'Sep', 'Okt']",A nach B Tour,['Wandern'],"['Verpflegung', 'Alp-Beizli', 'Feuerstelle']",[]
